scholar_id,missing_title,year,best_match_paper_id,best_match_title,similarity_score,verdict
lURTCEIAAAAJ,Design a data warehouse schema from document-oriented database,2019,4602,Design a data warehouse schema from document-oriented database,1.042,LIKELY_MATCH
lURTCEIAAAAJ,Building Con? ict-Aware Profiling Ontology from Data Warehouses,2012,4675,Building Con? ict-Aware Profiling Ontology from Data Warehouses,1.042,LIKELY_MATCH
lURTCEIAAAAJ,FOAF-based clustering of handicraft women using ranked features,2015,4684,FOAF-based clustering of handicraft women using ranked features,1.042,LIKELY_MATCH
JSQbyBgAAAAJ,A type-2 fuzzy logic recommendation system for adaptive teaching,2017,3827,A type-2 fuzzy logic recommendation system for adaptive teaching,1.042,LIKELY_MATCH
JSQbyBgAAAAJ,Multi-model Ensemble Based Approach for Heart Disease Diagnosis,2022,3843,Multi-model Ensemble Based Approach for Heart Disease Diagnosis,1.042,LIKELY_MATCH
JSQbyBgAAAAJ,"Dramatic Increase in Fear-Related Discussion on Twitter during COVID-19: Analysis, Topic Modeling and Tweets Classification",2022,3865,"Dramatic Increase in Fear-Related Discussion on Twitter during COVID-19: Analysis, Topic Modeling and Tweets Classification",1.042,LIKELY_MATCH
lURTCEIAAAAJ,Towards data warehouse from open data: Case of COVID-19,2021,4692,Towards data warehouse from open data: Case of COVID-19,1.041,LIKELY_MATCH
JSQbyBgAAAAJ,An interval type-2 fuzzy logic based system for improved instruction within intelligent e-learning platforms,2015,3855,An interval type-2 fuzzy logic based system for improved instruction within intelligent e-learning platforms,1.041,LIKELY_MATCH
JSQbyBgAAAAJ,A Safeguard Agent for Intelligent Health-care Environments,2023,3860,A Safeguard Agent for Intelligent Health-care Environments,1.041,LIKELY_MATCH
lURTCEIAAAAJ,Towards Ontology-Based Clustering of Handicraft Women,2014,4652,Towards Ontology-Based Clustering of Handicraft Women,1.040,LIKELY_MATCH
JSQbyBgAAAAJ,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Using a Non-Convex Distance Metric,2024,3837,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Using a Non-Convex Distance Metric,1.040,LIKELY_MATCH
JSQbyBgAAAAJ,AR-Therapist: Design and Simulation of an AR-Game Environment as a CBT for Patients with ADHD,2019,3828,AR-Therapist: Design and Simulation of an AR-Game Environment as a CBT for Patients with ADHD,1.039,LIKELY_MATCH
lURTCEIAAAAJ,Approche d'aide à la conception automatisée d'entrepôt de données: Guide de modélisation,2013,4667,Approche d'aide à la conception automatisée d'entrepôt de données: Guide de modélisation,1.038,LIKELY_MATCH
lURTCEIAAAAJ,Data Migration in Graph-oriented Databases.,2020,4680,Data Migration in Graph-oriented Databases.,1.038,LIKELY_MATCH
lURTCEIAAAAJ,Graph matching in graph-oriented databases,2020,4694,Graph matching in graph-oriented databases,1.038,LIKELY_MATCH
JSQbyBgAAAAJ,Intelligent Detection System for Multi-Step Cyber-Attack Based on Machine Learning,2023,3835,Intelligent Detection System for Multi-Step Cyber-Attack Based on Machine Learning,1.038,LIKELY_MATCH
JSQbyBgAAAAJ,2OM-Pred: prediction of 2-O-methylation sites in ribonucleic acid using diverse classifiers,2025,3864,2OM-Pred: prediction of 2-O-methylation sites in ribonucleic acid using diverse classifiers,1.033,LIKELY_MATCH
JSQbyBgAAAAJ,Computer-Aided Early Melanoma Brain-Tumor Detection Using Deep-Learning Approach,2023,3826,Computer-Aided Early Melanoma Brain-Tumor Detection Using Deep-Learning Approach,1.031,LIKELY_MATCH
lURTCEIAAAAJ,Usage Des Mesures Pour La G\'en\'eration Des R\egles d'Associations Cycliques,2011,4688,Usage Des Mesures Pour La G\'en\'eration Des R\egles d'Associations Cycliques,1.023,LIKELY_MATCH
