PaperID,Title,PubYear,Source,DOI,citation_id,authors_text,authorships_names,authorships_orcids
7113,RadGame: An AI-Powered Platform for Radiology Education,2025,OpenAlex,10.48550/arxiv.2509.13270,,"Mohammed Baharoon, Raissi, Siavash, Jun, John S., Thibault Heintz, Mahmoud Alabbad, Ali Alburkani, Sung‐Eun Kim, Kent Kleinschmidt, Abdulrahman O. Alhumaydhi, Mohammed Alghamdi, José Pérez del Palacio, Mohammed Bukhaytan, Noah Michael Prudlo, Rithvik Akula, Brady Chrisler, Benjamin Galligos, Mutlaq ","""[\""Mohammed Baharoon\"", \""Raissi, Siavash\"", \""Jun, John S.\"", \""Thibault Heintz\"", \""Mahmoud Alabbad\"", \""Ali Alburkani\"", \""Sung\u2010Eun Kim\"", \""Kent Kleinschmidt\"", \""Abdulrahman O. Alhumaydhi\"", \""Mohammed Alghamdi\"", \""Jos\u00e9 P\u00e9rez del Palacio\"", \""Mohammed Bukhaytan\"", \""Noah Michael Prudlo\"", \""Rithvik Akula\"", \""Brady Chrisler\"", \""Benjamin Galligos\"", \""Mutlaq Almutairi\"", \""Alanazi, Mazeen Mohammed\"", \""Nasser M. Alrashdi\"", \""Ji Young Hwang\"", \""Sri Sai Dinesh Jaliparthi\"", \""L. Nelson\"", \""Nguyen, Nathaniel\"", \""Suryadevara, Sathvik\"", \""Steven Kim\"", \""Mohammed F. Mohammed\"", \""Yevgeniy R. Semenov\"", \""Kun\u2010Hsing Yu\"", \""Abdulrhman Aljouie\"", \""Hassan Alomaish\"", \""Adam Rodman\"", \""Pranav Rajpurkar\""]""","""[null, null, null, null, null, null, \""https://orcid.org/0000-0001-8667-3887\"", null, null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0001-8918-6873\"", null, null, null, null, null, \""https://orcid.org/0000-0003-1109-5001\"", null, null, \""https://orcid.org/0000-0001-5848-3429\"", null, null, null, null, null, \""https://orcid.org/0000-0001-7795-3609\"", \""https://orcid.org/0000-0002-7387-3094\"", \""https://orcid.org/0000-0001-9892-8218\"", \""https://orcid.org/0000-0002-5592-2462\"", null, \""https://orcid.org/0000-0001-8452-0692\"", \""https://orcid.org/0000-0002-8030-3727\""]"""
7149,Analysis of Nonlinear Hadamard Fractional Differential Inclusions via Measure of Noncompactness,2025,OpenAlex,10.28924/2291-8639-23-2025-37,,"Habib Djourdem, Mohammed Alghamdi, E. M. Elsayed","""[\""Habib Djourdem\"", \""Mohammed Alghamdi\"", \""E. M. Elsayed\""]""","""[null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0003-0894-8472\""]"""
7150,"Cybersecurity: A Survey of Threats, Technologies, and Solutions",2025,OpenAlex,10.52783/cana.v32.3752,,Mohammed Alghamdi,"""[\""Mohammed Alghamdi\""]""","""[\""https://orcid.org/0000-0002-9794-554X\""]"""
7151,An Analysis of the Body Mass Index and Lipid Profiles in Saudi Patients with Sickle Cell Disease: A Case Control Study,2025,OpenAlex,10.4103/joah.joah_123_24,,"Rehab Y. Al‐Ansari, Fatimah Salem Alayidh, Alexander Woodman, Lamiaa H. Al‐Jamea, Abdullah Muteb Alanazi, Rami Mohammed Alfaifi, Arulanantham Zechariah Jebakumar, Mohammed Alghamdi","""[\""Rehab Y. Al\u2010Ansari\"", \""Fatimah Salem Alayidh\"", \""Alexander Woodman\"", \""Lamiaa H. Al\u2010Jamea\"", \""Abdullah Muteb Alanazi\"", \""Rami Mohammed Alfaifi\"", \""Arulanantham Zechariah Jebakumar\"", \""Mohammed Alghamdi\""]""","""[\""https://orcid.org/0000-0003-4331-5769\"", null, \""https://orcid.org/0000-0001-8848-6700\"", \""https://orcid.org/0000-0003-2638-3751\"", null, null, \""https://orcid.org/0000-0002-5978-2436\"", \""https://orcid.org/0000-0002-9794-554X\""]"""
7152,Pseudopapillary and micropapillary-like changes in classical renal angiomyolipoma: a multi-institutional series of 60 cases,2025,OpenAlex,10.1007/s00428-025-04155-w,,"Elie Tannous, Deniz Bayçelebi, Ankur R. Sangoi, Richard R. Pacheco, Mohammed Alghamdi, Andrea Lightle, Khaleel I. Al‐Obaidy, Sean R. Williamson, Zeliha Cetin, Dimitrios Korentzelos, Mahmut Akgül","""[\""Elie Tannous\"", \""Deniz Bay\u00e7elebi\"", \""Ankur R. Sangoi\"", \""Richard R. Pacheco\"", \""Mohammed Alghamdi\"", \""Andrea Lightle\"", \""Khaleel I. Al\u2010Obaidy\"", \""Sean R. Williamson\"", \""Zeliha Cetin\"", \""Dimitrios Korentzelos\"", \""Mahmut Akg\u00fcl\""]""","""[null, \""https://orcid.org/0000-0002-1660-3629\"", \""https://orcid.org/0000-0003-0874-8964\"", \""https://orcid.org/0000-0002-9919-7290\"", \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0001-6276-1970\"", null, \""https://orcid.org/0000-0002-3898-1460\"", \""https://orcid.org/0000-0002-5379-4735\"", \""https://orcid.org/0000-0003-0099-7499\"", \""https://orcid.org/0000-0003-0929-0940\""]"""
7155,"BIOSYNTHESIS OF SILVER NANOPARTICLES FROM SARGASSUM MUTICUM EXTRACT AND ITS COMPATIBILITY WITH TRICHODERMA HARZIANUM FOR CONTROLLING THE TOMATO LEAF MINER, TUTA ABSOLUTA",2025,OpenAlex,10.61586/1e5bi,,"Alaa Baazeem, Hadeer Darwish, Rabaa Algotiml, Akram Alghamdi, Seham Sater Alhelaify, Amal S. Alswat, Mohammed Alghamdi, Mohamed Alorabi, Wafa Mohammed Al-Otaibi, Abeer S. Alqurashi, Mohammad Mahmudul Hassan, Rawan Alghamdi, Hayam Elshazly, Mohamed A. Farid, Najeeb M. Almasoudi, M. Osman, Z. M. Al Dh","""[\""Alaa Baazeem\"", \""Hadeer Darwish\"", \""Rabaa Algotiml\"", \""Akram Alghamdi\"", \""Seham Sater Alhelaify\"", \""Amal S. Alswat\"", \""Mohammed Alghamdi\"", \""Mohamed Alorabi\"", \""Wafa Mohammed Al-Otaibi\"", \""Abeer S. Alqurashi\"", \""Mohammad Mahmudul Hassan\"", \""Rawan Alghamdi\"", \""Hayam Elshazly\"", \""Mohamed A. Farid\"", \""Najeeb M. Almasoudi\"", \""M. Osman\"", \""Z. M. Al Dhafar\"", \""Naif H. Ashri\"", \""Ahmed Noureldeen\""]""","""[\""https://orcid.org/0000-0002-9339-4728\"", \""https://orcid.org/0000-0003-3999-4949\"", null, null, \""https://orcid.org/0009-0000-2377-5683\"", \""https://orcid.org/0000-0002-5306-226X\"", \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0002-3706-6332\"", null, \""https://orcid.org/0000-0002-6847-0098\"", \""https://orcid.org/0000-0001-6495-4637\"", \""https://orcid.org/0000-0001-8479-2719\"", \""https://orcid.org/0000-0002-2892-9271\"", \""https://orcid.org/0000-0002-5647-5561\"", \""https://orcid.org/0000-0003-0415-3226\"", \""https://orcid.org/0000-0003-1934-261X\"", \""https://orcid.org/0000-0002-5875-6615\"", null, \""https://orcid.org/0000-0003-3890-4032\""]"""
7156,"149 - Clinical Efficacy of Combination of Local Triamcinolone and Botulinum Toxin A for Managing Type II/III Interstitial Cystitis/Bladder Pain Syndrom, a Single Centre Perspective",2025,OpenAlex,10.1016/j.cont.2025.102073,,"Abdulrahman Mojallid, Meshari A. Alzahrani, Adham M Abdulsamad, A Alghamdi, Mohammed Alghamdi, Abdullrahman Alayyad, Adil Mubarak F Alotaibi, A Alamri, Adel Elatreisy","""[\""Abdulrahman Mojallid\"", \""Meshari A. Alzahrani\"", \""Adham M Abdulsamad\"", \""A Alghamdi\"", \""Mohammed Alghamdi\"", \""Abdullrahman Alayyad\"", \""Adil Mubarak F Alotaibi\"", \""A Alamri\"", \""Adel Elatreisy\""]""","""[null, \""https://orcid.org/0000-0002-8504-7486\"", null, \""https://orcid.org/0000-0002-0687-1179\"", \""https://orcid.org/0000-0002-9794-554X\"", null, \""https://orcid.org/0000-0002-5953-4723\"", null, \""https://orcid.org/0000-0001-8407-0564\""]"""
7157,Design and Optimization of a Solar Parabolic Dish for Steam Generation in a Blue Hydrogen Production Plant,2025,OpenAlex,10.3390/hydrogen6040085,,"Taher Maatallah, Mussad Alzahrani, Salman Hilal, Abdullah Saad Alsubaie, Mohammad S. Aljohani, Mohammed Alghamdi, Fouad Al-Mansour, Loay Awad, Sajid Ali","""[\""Taher Maatallah\"", \""Mussad Alzahrani\"", \""Salman Hilal\"", \""Abdullah Saad Alsubaie\"", \""Mohammad S. Aljohani\"", \""Mohammed Alghamdi\"", \""Fouad Al-Mansour\"", \""Loay Awad\"", \""Sajid Ali\""]""","""[\""https://orcid.org/0000-0002-8822-0475\"", \""https://orcid.org/0000-0003-4573-6583\"", null, \""https://orcid.org/0000-0002-3503-5057\"", null, \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0002-6737-9217\"", \""https://orcid.org/0000-0001-8283-812X\"", \""https://orcid.org/0000-0003-3451-1047\""]"""
7158,Dynamic Clustering-driven Pruning Framework for Efficient Machine Learning-based Anterior Cruciate Ligament Injury Risk Biomarker Classification,2025,OpenAlex,10.4103/atmr.atmr_119_25,,"Sajjad Ibrahim Alhajji, Mohammed Alghamdi, Saud Turki M Alqahtani, Bader Alruwaili, Hossam Hassan Alamri, Hatem Hassan Al Amri, Abdullah Naeem Alsaeedi, Saud Nayef Aldanyowi","""[\""Sajjad Ibrahim Alhajji\"", \""Mohammed Alghamdi\"", \""Saud Turki M Alqahtani\"", \""Bader Alruwaili\"", \""Hossam Hassan Alamri\"", \""Hatem Hassan Al Amri\"", \""Abdullah Naeem Alsaeedi\"", \""Saud Nayef Aldanyowi\""]""","""[null, \""https://orcid.org/0000-0002-9794-554X\"", null, \""https://orcid.org/0000-0001-5793-6289\"", null, null, null, \""https://orcid.org/0000-0002-3559-3307\""]"""
7159,Prevalence and Predictors of Adjacent Segment Disease following Spinal Deformity Correction Surgery: A Cross-sectional Study in Saudi Arabia,2025,OpenAlex,10.4103/atmr.atmr_73_25,,"Ali Mohammad Alshakhs, Mohammed Alghamdi, Sajjad Ibrahim Alhajji, Layin Mamdouh Almasoud, Abdulaziz Abdulrahman Almuhaini, Saud Alqahtani, Basil Saleh Albadan, Maryam Alali, Saad Alsaleh, Saud Nayef Aldanyowi","""[\""Ali Mohammad Alshakhs\"", \""Mohammed Alghamdi\"", \""Sajjad Ibrahim Alhajji\"", \""Layin Mamdouh Almasoud\"", \""Abdulaziz Abdulrahman Almuhaini\"", \""Saud Alqahtani\"", \""Basil Saleh Albadan\"", \""Maryam Alali\"", \""Saad Alsaleh\"", \""Saud Nayef Aldanyowi\""]""","""[null, \""https://orcid.org/0000-0002-9794-554X\"", null, null, null, null, null, null, \""https://orcid.org/0000-0002-1236-2098\"", \""https://orcid.org/0000-0002-3559-3307\""]"""
7160,&lt;i&gt;Salvadora Persica&lt;/i&gt;’s Effects on Oral Microbiota and Possible Pathophysiological Links to Type II Diabetes Mellitus Risk Factors,2025,OpenAlex,10.64064/1658-4252.1009,,"Ahmed Bahieldin, Heba Jafar Sabbagh, Mohammed A. AlShehri, Abdullah M. Algarni, Naif Aljahdali, Ibrahim M. Asir, Khalid Alzahrani, Awad S. Almhwary, Fatemah Saleh Alzaghabi, Abdullah J. Alsahafi, Amjed S Alshehri, Ali Ahmed Alzahrani, Faisal Alotaibi, Mohammed Alghamdi, Abdulwahab S. Almutairi, Sher","""[\""Ahmed Bahieldin\"", \""Heba Jafar Sabbagh\"", \""Mohammed A. AlShehri\"", \""Abdullah M. Algarni\"", \""Naif Aljahdali\"", \""Ibrahim M. Asir\"", \""Khalid Alzahrani\"", \""Awad S. Almhwary\"", \""Fatemah Saleh Alzaghabi\"", \""Abdullah J. Alsahafi\"", \""Amjed S Alshehri\"", \""Ali Ahmed Alzahrani\"", \""Faisal Alotaibi\"", \""Mohammed Alghamdi\"", \""Abdulwahab S. Almutairi\"", \""Sherif Edris\""]""","""[\""https://orcid.org/0000-0002-6496-7881\"", \""https://orcid.org/0000-0002-9788-0379\"", \""https://orcid.org/0000-0003-1466-8231\"", null, null, null, \""https://orcid.org/0000-0001-8231-4545\"", null, null, null, null, \""https://orcid.org/0009-0002-0746-9074\"", \""https://orcid.org/0000-0002-8767-9911\"", \""https://orcid.org/0000-0002-9794-554X\"", null, \""https://orcid.org/0000-0002-2810-3736\""]"""
7161,The cost of dual-task walking: Cognitive demands restrict visual search and gait planning,2025,OpenAlex,10.1101/2025.11.16.688732,,"Yuri Russo, Jing Ye, Sarah E Lamb, A. E. Gear, William R Lyon, Jack Y. Qiu, Marian Banks, Emily C. Martin, Zijing Wang, Mohammed Alghamdi, Phaedra Leveridge, William R. Young","""[\""Yuri Russo\"", \""Jing Ye\"", \""Sarah E Lamb\"", \""A. E. Gear\"", \""William R Lyon\"", \""Jack Y. Qiu\"", \""Marian Banks\"", \""Emily C. Martin\"", \""Zijing Wang\"", \""Mohammed Alghamdi\"", \""Phaedra Leveridge\"", \""William R. Young\""]""","""[\""https://orcid.org/0000-0002-1025-6734\"", \""https://orcid.org/0009-0009-3601-415X\"", \""https://orcid.org/0000-0003-4349-7195\"", null, null, \""https://orcid.org/0000-0003-1485-2733\"", null, \""https://orcid.org/0000-0002-2011-3905\"", \""https://orcid.org/0000-0002-1655-0512\"", \""https://orcid.org/0000-0002-9794-554X\"", \""https://orcid.org/0000-0002-3602-2231\"", \""https://orcid.org/0000-0002-5064-8601\""]"""
