الاسم, المرتبة,القسم,Google Scholar Link,scopus,ResearchGate,dblp,Frontiers Loop,ORCID,SciProfiles,webofscience
عبدالله محمد موسى المداوس العمري,أستاذ مشارك,علوم الحاسبات ,https://scholar.google.com/citations?user=1u1Vah8AAAAJ,,,,,,,
عبدالهادي حسن حسين اللهيبي,محاضر,علوم الحاسبات ,,,,,,,,
عصام عبدالله سعيد الحسني الزهراني,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=05Jx6QkAAAAJ,,,,,,,
علي سراج الدين فتح الرحمن احمد,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=6rWS7lcAAAAJ,,,,,,,
علي سعيد عبدالله ال عوير,أستاذ مشارك,تقنية المعلومات ,https://scholar.google.com/citations?user=B_ZvEtEAAAAJ,,,,,,,
علياء علي احمد الغامدي,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=ENpeJ9kAAAAJ,,,,,,,
عيده محمد مسفر العمري الزهراني,أستاذ مساعد,هندسة البرمجيات ,https://scholar.google.com/citations?user=MQeK2TUAAAAJ,,,,,,,
عيظه جمعان عبدالله الزهراني,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=_f9gV0EAAAAJ,,,,,,,
فهد علي راشد غامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=BqE8XJUAAAAJ,,,,,,,
فواز محمد احمد الزهراني,محاضر,النظم والشبكات ,,,,,,,,
ماجد حزام محمد الزهراني,محاضر,علوم الحاسبات ,,,,,,,,
مجذوب كمال الدين عمر عبدالرحمن,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=KF-CfgoAAAAJ,,,,,,,
محمد ابراهيم يعن الله آل مشلح,أستاذ,علوم الحاسبات ,https://scholar.google.com/citations?user=Gtbbx1YAAAAJ,,,,,,,
محمد حسن سوره القرني,أستاذ مشارك,علوم الحاسبات ,https://scholar.google.com/citations?user=sbtReLEAAAAJ,,,,,,,
محمد سر الختم السيد ادريس,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=x0DZnTgAAAAJ,,,,,,,
محمد عبدالرحمن محمد اللهيدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=Wcoweq8AAAAJ,,,,,,,
محمد عبدالله خضران الزهراني,أستاذ مساعد,النظم والشبكات ,,, https://www.researchgate.net/profile/Mohammed-Alzahrani-51,,,,,
محمد عبدالله مسلم القرشي,أستاذ مشارك,علوم الحاسبات ,,,https://www.researchgate.net/profile/Mohammed-Al-Qurashi,,,,,
محمد عيد عايض الوزاب الزهراني,أستاذ,علوم الحاسبات ,https://scholar.google.com/citations?user=0rfEfNkAAAAJ&,,,,,,,
محمد فتحي ابراهيم السيد,أستاذ مساعد,تقنية المعلومات ,,,https://www.researchgate.net/profile/Drmohamed-Fathy,,,,,
محمد قيصر سليم محمد سليم,أستاذ مشارك,هندسة البرمجيات ,https://scholar.google.com/citations?user=XCxbNmoAAAAJ,,,,,,,
محمد متعب سعيد الغامدي,معيد,النظم والشبكات ,,,,,,,,
محمد مستور فريحان الحارثي,معيد,علوم الحاسبات ,,,,,,,,
محمد يحيى عبدالخالق ال بنه الغامدي,أستاذ,علوم الحاسبات ,,59805957400,,,,,,
محمد يحيى مرضي الزهراني,أستاذ,تقنية المعلومات ,https://scholar.google.com/citations?user=9HoDwVkAAAAJ,,,,,,,
محمود أحمد محمود ابو غالي,أستاذ مساعد,تقنية المعلومات ,,,,,,,,
مساعد جمعان احمد الزهراني,أستاذ مشارك,علوم الحاسبات ,https://scholar.google.com/citations?user=g-tdUbYAAAAJ,,,,,,,
مصطفى سعيد محمد ال صقر الغامدي,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=D70Hn7wAAAAJ,,,,,,,
معز محمود حسن كريشان,أستاذ مشارك,هندسة البرمجيات ,https://scholar.google.com/citations?user=yaX8Tu4AAAAJ,,,,,,,
مفرح عبدالله شايع وقدان,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?hl=en&user=ZcJ95CkAAAAJ,,,,,,,
ممدوح ميرغني محمد حسن,أستاذ مساعد,النظم والشبكات ,,,https://www.researchgate.net/profile/Mumdouh-M,,,,,
منال محمد حسن مسفر الغامدي,محاضر,علوم الحاسبات ,,,,,,,,
منير عبدالله سيف سعيد,أستاذ مساعد,علوم الحاسبات ,https://scholar.google.com/citations?user=Ut7IZtYAAAAJ,,,,,,,
مها مرزوق صنيتان العمري,أستاذ مساعد,هندسة البرمجيات ,https://scholar.google.com/citations?user=R3hUdWoAAAAJ,,,,,,,
ناصر سالم تومان الشهراني,معيد,علوم الحاسبات ,,,,,,,,
نجيب علي محمد بنعون,أستاذ مشارك,تقنية المعلومات ,https://scholar.google.com/citations?user=XzD4xzoAAAAJ,,,,,,,
نزار حسن محمد الشريف,أستاذ مشارك,علوم الحاسبات ,https://scholar.google.com/citations?user=budxbSoAAAAJ,,,,,,,
نوف مطر مسفر الزهراني,أستاذ مشارك,تقنية المعلومات ,https://scholar.google.com/citations?user=lmQMvCUAAAAJ,,,,,,,
هاني علي محمود حرب,أستاذ مساعد,هندسة البرمجيات ,https://scholar.google.com/citations?user=rPWvcmYAAAAJ,,,,,,,
هدى موسى مزهر الزهراني,محاضر,علوم الحاسبات ,,,,,,,,
هناء عبدالكريم محمد الزهراني,محاضر,علوم الحاسبات ,,,,,,,,
وجيه محسن احمد محمد,أستاذ مساعد,النظم والشبكات ,,,,,,,,
وسام محمود السيد اسماعيل,أستاذ مساعد,علوم الحاسبات ,,,,,,,,
وليد محمود السيد شحاته,أستاذ مساعد,النظم والشبكات ,https://scholar.google.com/citations?user=Zs28nxwAAAAJ,,,,,,,
يزيد عبدالله سعيد ال هادي,معيد,النظم والشبكات ,,,,,,,,
يمنى محمد علي ابراهيم,أستاذ مساعد,هندسة البرمجيات ,https://scholar.google.com/citations?user=RGF5OxIAAAAJ,,,,,,,
